Customer_ID,Customer_Name,Customer_Segment,Account_Type,Tenure_Years,Region,Is_Premium,Monthly_Txn_Count,Credit_Score_Band,Tenure_Tier,Activity_Tier
CUST00039,Tanya Robbins,Retail,Current,5.2,Central,0,31,Fair,Established (3-7yr),High
CUST00040,Sandra Campbell,Retail,Savings,3.7,South,0,41,Excellent,Established (3-7yr),Very High
CUST00041,Beth Monroe,Retail,Current,10.8,Central,1,7,Excellent,Loyal (7yr+),Low
CUST00042,John Ruiz,Premium,Salary,12.2,West,0,23,Good,Loyal (7yr+),Medium
CUST00043,Jennifer Sutton,Retail,NRI,5.6,East,0,24,Good,Established (3-7yr),Medium
CUST00044,Brandon Williams,Retail,Savings,1.9,South,1,5,Excellent,Growing (1-3yr),Low
CUST00045,Dean Ward,Retail,NRI,14.1,North,1,5,Very Good,Loyal (7yr+),Low
CUST00046,Gary Klein,Premium,Salary,6.3,South,1,17,Good,Established (3-7yr),Medium
CUST00047,Robin Dennis,SME,Business,8.0,West,0,30,Very Good,Loyal (7yr+),High
CUST00048,Alex Phillips,Retail,NRI,12.6,North,0,9,Excellent,Loyal (7yr+),Low
CUST00049,Haley Charles,Corporate,NRI,10.3,West,0,6,Good,Loyal (7yr+),Low
CUST00050,Beth Kelly,Retail,Salary,11.2,Central,1,25,Fair,Loyal (7yr+),Medium
CUST00051,Brittany Stevens,SME,Savings,3.5,South,1,19,Excellent,Established (3-7yr),Medium
CUST00052,Wendy Wong,Premium,Salary,8.4,Central,0,16,Good,Loyal (7yr+),Medium
CUST00053,Caleb Watson,Premium,NRI,10.6,East,0,21,Very Good,Loyal (7yr+),Medium
CUST00054,Dawn Hunt,Retail,Current,3.8,Central,0,2,Very Good,Established (3-7yr),Low
CUST00055,Holly White,SME,Current,3.0,West,1,10,Good,Growing (1-3yr),Low
CUST00056,Jacqueline Pacheco,Premium,NRI,14.7,West,0,16,Very Good,Loyal (7yr+),Medium
CUST00057,Daniel Flores,Retail,Savings,8.0,West,1,37,Good,Loyal (7yr+),High
CUST00058,Judy Baker,Retail,NRI,4.3,Central,0,15,Good,Established (3-7yr),Medium
CUST00059,Sabrina Salazar,Retail,Current,14.9,North,0,13,Very Good,Loyal (7yr+),Medium
CUST00060,Samantha Barber,Corporate,Business,14.5,North,0,13,Poor,Loyal (7yr+),Medium
CUST00061,Matthew Castro,SME,NRI,8.6,East,0,32,Fair,Loyal (7yr+),High
CUST00062,David Weiss,Retail,NRI,13.3,West,0,45,Excellent,Loyal (7yr+),Very High
CUST00063,Brandon Smith,Premium,Business,3.2,East,0,47,Fair,Established (3-7yr),Very High
CUST00064,Charles Price,Premium,Savings,4.5,East,1,46,Excellent,Established (3-7yr),Very High
CUST00065,Lindsay Johnston,Corporate,Salary,10.7,West,0,8,Excellent,Loyal (7yr+),Low
CUST00066,Deborah Lopez,Corporate,Current,12.8,Central,0,43,Fair,Loyal (7yr+),Very High
CUST00067,Dr. Michelle Huang,Corporate,Current,12.9,South,0,18,Good,Loyal (7yr+),Medium
CUST00068,Cory Johnson,Corporate,Salary,6.4,West,0,36,Very Good,Established (3-7yr),High
CUST00069,Jason Schultz,Corporate,Salary,13.4,South,0,26,Poor,Loyal (7yr+),High
CUST00070,Joseph Jimenez,Retail,Salary,12.8,South,1,10,Poor,Loyal (7yr+),Low
CUST00071,Daniel Sanchez,Retail,Salary,14.1,Central,0,31,Poor,Loyal (7yr+),High
CUST00072,Amanda Rose,SME,Current,11.9,West,0,33,Fair,Loyal (7yr+),High
CUST00073,Angela Murphy,Retail,NRI,10.2,West,0,29,Fair,Loyal (7yr+),High
CUST00074,John Sanders,Corporate,NRI,8.9,West,1,5,Good,Loyal (7yr+),Low
CUST00075,Kendra Baker,Retail,Business,5.9,South,0,13,Poor,Established (3-7yr),Medium
CUST00076,Deborah White,Premium,NRI,14.1,Central,0,1,Good,Loyal (7yr+),Low
CUST00077,Erin Garrett,Retail,Savings,14.6,North,0,23,Poor,Loyal (7yr+),Medium
CUST00078,Gregory Hall,Corporate,Savings,4.6,West,1,40,Fair,Established (3-7yr),High
CUST00079,Jasmine Gordon,Retail,Salary,4.9,North,1,3,Very Good,Established (3-7yr),Low
CUST00080,Amber Fritz,Corporate,Business,7.5,South,1,3,Very Good,Loyal (7yr+),Low
CUST00081,Regina Lopez,Retail,Current,7.0,South,0,7,Very Good,Established (3-7yr),Low
CUST00082,David Kennedy,Premium,NRI,14.9,East,0,36,Very Good,Loyal (7yr+),High
CUST00083,Gloria Leonard,Retail,NRI,3.1,Central,0,35,Excellent,Established (3-7yr),High
CUST00084,Holly White,Corporate,Current,0.8,East,0,15,Poor,New (0-1yr),Medium
CUST00085,Rachel Washington,SME,Savings,7.7,North,1,40,Very Good,Loyal (7yr+),High
CUST00086,Nicole Hernandez,Retail,Salary,3.1,South,1,3,Excellent,Established (3-7yr),Low
CUST00087,Ebony Oneill,SME,Business,5.8,West,0,29,Excellent,Established (3-7yr),High
CUST00088,Michael Carter,Corporate,Savings,11.3,West,0,30,Excellent,Loyal (7yr+),High
CUST00089,Brian Logan,Retail,Business,11.0,Central,1,39,Good,Loyal (7yr+),High
CUST00090,William Foster,Premium,Salary,5.0,North,1,18,Good,Established (3-7yr),Medium
CUST00091,Gavin Bradley,Retail,NRI,8.4,East,0,11,Excellent,Loyal (7yr+),Medium
CUST00092,Melissa Fleming,Retail,Salary,7.9,North,1,43,Very Good,Loyal (7yr+),Very High
CUST00093,Ashley Choi,SME,Savings,9.7,North,0,49,Poor,Loyal (7yr+),Very High
CUST00094,Gregory Reynolds,Corporate,NRI,4.1,Central,1,38,Fair,Established (3-7yr),High
CUST00095,Melissa Jackson,SME,Salary,9.1,East,0,40,Good,Loyal (7yr+),High
CUST00096,Sean Smith,Corporate,NRI,14.7,West,0,1,Very Good,Loyal (7yr+),Low
CUST00097,Bryan Marquez,Corporate,NRI,7.6,West,1,29,Very Good,Loyal (7yr+),High
CUST00098,Daniel Johns,Retail,Business,13.6,South,0,10,Fair,Loyal (7yr+),Low
CUST00099,John Cummings,Premium,Business,6.8,East,1,28,Fair,Established (3-7yr),High
CUST00100,Joshua Arnold,Premium,Savings,5.6,South,1,31,Very Good,Established (3-7yr),High
CUST00101,Amanda Collins,Retail,Salary,9.9,Central,0,19,Fair,Loyal (7yr+),Medium
CUST00102,Anthony Rocha,SME,Current,10.2,North,0,3,Very Good,Loyal (7yr+),Low
CUST00103,John Mosley,Premium,Salary,13.0,West,0,36,Fair,Loyal (7yr+),High
CUST00104,Janet Baxter,Retail,NRI,3.8,North,0,43,Fair,Established (3-7yr),Very High
CUST00105,Richard Rowe,Retail,Savings,7.7,North,0,15,Very Good,Loyal (7yr+),Medium
CUST00106,Emily Brown,Retail,Savings,8.8,West,0,33,Excellent,Loyal (7yr+),High
CUST00107,Kari Baxter,Retail,Current,11.6,West,0,41,Very Good,Loyal (7yr+),Very High
CUST00108,Jennifer Harris,SME,NRI,1.1,East,0,43,Poor,Growing (1-3yr),Very High
CUST00109,Judith Clark,Premium,NRI,14.9,West,0,45,Fair,Loyal (7yr+),Very High
CUST00110,Ann Carter,Premium,Savings,7.3,South,1,26,Good,Loyal (7yr+),High
CUST00111,Melissa Williams,Corporate,Savings,4.6,West,0,16,Fair,Established (3-7yr),Medium
CUST00112,Lauren Benson,Retail,Current,13.3,North,0,36,Poor,Loyal (7yr+),High
CUST00113,Bruce Vasquez,SME,Current,11.3,North,0,33,Good,Loyal (7yr+),High
CUST00114,Patrick Smith,SME,Business,14.3,East,0,20,Good,Loyal (7yr+),Medium
CUST00115,James Jones,SME,Savings,5.3,North,0,13,Very Good,Established (3-7yr),Medium
CUST00116,David Johnson,Corporate,Current,8.5,South,1,33,Excellent,Loyal (7yr+),High
CUST00117,Terrence Lopez,Retail,NRI,8.8,East,0,5,Very Good,Loyal (7yr+),Low
CUST00118,Clinton Ryan,Premium,Business,14.7,West,0,37,Good,Loyal (7yr+),High
CUST00119,Martin Allen,SME,Savings,1.6,West,0,14,Good,Growing (1-3yr),Medium
CUST00120,Susan Owens,Corporate,Current,4.9,West,1,27,Excellent,Established (3-7yr),High
CUST00121,Jessica Garcia,Retail,Savings,3.3,North,0,23,Fair,Established (3-7yr),Medium
CUST00122,Thomas Hardy,Corporate,Business,4.4,North,1,14,Excellent,Established (3-7yr),Medium
CUST00123,Tracy Abbott,Retail,Salary,7.5,Central,0,40,Very Good,Loyal (7yr+),High
CUST00124,Craig Stevens,Retail,Savings,5.9,South,1,4,Fair,Established (3-7yr),Low
CUST00125,Ronald Barajas,Premium,Savings,6.2,West,0,39,Very Good,Established (3-7yr),High
CUST00126,Brianna Villa,Corporate,Savings,12.7,South,0,19,Excellent,Loyal (7yr+),Medium
CUST00127,Kayla Smith,Corporate,Savings,14.0,West,0,47,Fair,Loyal (7yr+),Very High
CUST00128,Erin Sanchez,Premium,Current,1.5,East,0,4,Excellent,Growing (1-3yr),Low
CUST00129,Samantha Hampton,Retail,Salary,3.5,South,0,30,Poor,Established (3-7yr),High
CUST00130,Melissa Deleon,Retail,NRI,10.2,South,0,19,Good,Loyal (7yr+),Medium
CUST00131,Erin Carney,Retail,Savings,5.7,North,0,31,Fair,Established (3-7yr),High
CUST00132,Connie Williams,Corporate,NRI,4.2,Central,0,31,Good,Established (3-7yr),High
CUST00133,Jessica Atkinson,Retail,Current,4.8,North,0,9,Poor,Established (3-7yr),Low
CUST00134,John Day,Retail,Salary,5.2,South,0,13,Fair,Established (3-7yr),Medium
CUST00135,Michael Cordova,Retail,Business,12.8,East,0,14,Good,Loyal (7yr+),Medium
CUST00136,Carl Schaefer,Retail,Business,2.5,North,0,46,Good,Growing (1-3yr),Very High
CUST00137,Jennifer Cannon,Retail,Business,10.8,Central,0,10,Fair,Loyal (7yr+),Low
CUST00138,Renee Parker,Retail,Business,8.5,West,1,48,Good,Loyal (7yr+),Very High
CUST00139,Brittany Craig,Retail,Business,4.8,South,0,31,Good,Established (3-7yr),High
CUST00140,Darryl Anderson,SME,Salary,6.6,North,1,37,Fair,Established (3-7yr),High
CUST00141,Nancy Jones,Premium,Savings,4.2,North,0,23,Good,Established (3-7yr),Medium
CUST00142,Meredith Jordan,Retail,Business,9.4,East,0,27,Good,Loyal (7yr+),High
CUST00143,Chelsea Mitchell,SME,Savings,1.7,South,1,6,Very Good,Growing (1-3yr),Low
CUST00144,Jacob Cooper,SME,NRI,0.6,West,1,26,Very Good,New (0-1yr),High
CUST00145,Matthew Choi,Corporate,Savings,9.6,East,1,2,Poor,Loyal (7yr+),Low
CUST00146,Laura Wright,Premium,NRI,3.3,South,0,45,Very Good,Established (3-7yr),Very High
CUST00147,Ashley Harris,Retail,Savings,1.5,South,0,13,Very Good,Growing (1-3yr),Medium
CUST00148,Charles Williams,Corporate,NRI,6.3,North,1,50,Poor,Established (3-7yr),Very High
CUST00149,Karen Wood,Corporate,Savings,1.2,Central,0,19,Good,Growing (1-3yr),Medium
CUST00150,Joanna Yoder,SME,Savings,13.4,South,1,1,Good,Loyal (7yr+),Low
CUST00151,William Miller,SME,Salary,0.9,West,0,40,Very Good,New (0-1yr),High
CUST00152,Mr. Mike Hicks,SME,NRI,8.9,North,0,32,Poor,Loyal (7yr+),High
CUST00153,Andrea Rodgers,Retail,Savings,6.9,Central,0,22,Good,Established (3-7yr),Medium
CUST00154,Dr. Timothy Booker,Retail,Salary,10.2,North,0,48,Excellent,Loyal (7yr+),Very High
CUST00155,Marissa Rodriguez,Corporate,Salary,5.3,West,0,29,Fair,Established (3-7yr),High
CUST00156,Tyler Mitchell,Corporate,NRI,2.7,East,0,2,Fair,Growing (1-3yr),Low
CUST00157,Glenn Barron,Retail,Savings,14.7,West,0,40,Fair,Loyal (7yr+),High
CUST00158,Gwendolyn Guzman,Retail,Salary,12.7,North,0,38,Very Good,Loyal (7yr+),High
CUST00159,Andrew Wilson,SME,Business,13.0,Central,0,48,Fair,Loyal (7yr+),Very High
CUST00160,Mr. Kevin Clark,Retail,Business,4.1,North,0,11,Fair,Established (3-7yr),Medium
CUST00161,Dr. Thomas Nichols,Retail,Business,1.1,North,0,17,Excellent,Growing (1-3yr),Medium
CUST00162,Joe Dennis,Corporate,Savings,4.9,West,0,43,Good,Established (3-7yr),Very High
CUST00163,Ms. Kelly Sanders,Premium,Business,8.3,South,0,8,Excellent,Loyal (7yr+),Low
CUST00164,Douglas Hamilton,SME,Current,5.2,South,0,22,Very Good,Established (3-7yr),Medium
CUST00165,Megan Wilson,Retail,NRI,12.5,East,0,4,Fair,Loyal (7yr+),Low
CUST00166,Meredith Allen,Premium,Current,4.4,South,1,11,Good,Established (3-7yr),Medium
CUST00167,Mrs. Valerie Coleman,Retail,Current,14.5,South,0,8,Fair,Loyal (7yr+),Low
CUST00168,Robin Young,Retail,Business,7.1,North,0,9,Fair,Loyal (7yr+),Low
CUST00169,David Scott,SME,NRI,12.7,North,0,26,Very Good,Loyal (7yr+),High
CUST00170,Kari Coleman,Retail,Salary,3.3,West,0,2,Fair,Established (3-7yr),Low
CUST00171,Robert Robinson,SME,Current,6.5,North,0,16,Poor,Established (3-7yr),Medium
CUST00172,Janet Munoz,Corporate,Salary,10.6,North,0,31,Good,Loyal (7yr+),High
CUST00173,Hannah Gonzalez,Premium,Salary,2.5,East,1,6,Good,Growing (1-3yr),Low
CUST00174,Ashley Harrison,Premium,Savings,2.4,South,0,21,Poor,Growing (1-3yr),Medium
CUST00175,Matthew Mcmillan,Premium,NRI,14.6,North,1,26,Very Good,Loyal (7yr+),High
CUST00176,Ronald Martinez,Retail,NRI,10.9,South,1,19,Fair,Loyal (7yr+),Medium
CUST00177,Paul Santos,SME,Current,1.1,North,1,28,Fair,Growing (1-3yr),High
CUST00178,Stacey Barr,Premium,Savings,6.3,South,0,8,Good,Established (3-7yr),Low
CUST00179,Andrea Jones,Corporate,Savings,6.8,South,0,14,Very Good,Established (3-7yr),Medium
CUST00180,Peter Mitchell,Premium,Savings,11.3,North,0,24,Very Good,Loyal (7yr+),Medium
CUST00181,Margaret Davis,SME,NRI,4.1,West,0,48,Very Good,Established (3-7yr),Very High
CUST00182,Jeff Burke,Premium,NRI,3.2,Central,0,44,Fair,Established (3-7yr),Very High
CUST00183,Brittany Jones,SME,Business,1.7,North,1,37,Very Good,Growing (1-3yr),High
CUST00184,Christopher Flores,Retail,NRI,6.7,East,0,26,Poor,Established (3-7yr),High
CUST00185,Reginald Perry,Corporate,NRI,10.5,East,0,31,Excellent,Loyal (7yr+),High
CUST00186,Alexander Patton,SME,Savings,1.3,Central,1,32,Very Good,Growing (1-3yr),High
CUST00187,Bobby Lindsey,SME,Salary,13.8,South,0,50,Excellent,Loyal (7yr+),Very High
CUST00188,Lisa Pearson MD,Retail,Current,6.9,Central,0,41,Fair,Established (3-7yr),Very High
CUST00189,Samantha Moreno,Retail,Salary,4.0,South,1,2,Very Good,Established (3-7yr),Low
CUST00190,Shannon Carter,Corporate,Current,1.9,Central,0,25,Good,Growing (1-3yr),Medium
CUST00191,Sarah Sanchez,Retail,Business,3.2,West,0,44,Fair,Established (3-7yr),Very High
CUST00192,Gilbert Hudson,Premium,NRI,14.1,West,0,2,Poor,Loyal (7yr+),Low
CUST00193,Bryan Jackson,SME,Current,9.8,North,0,42,Poor,Loyal (7yr+),Very High
CUST00194,Heather Moore,Corporate,Current,8.0,South,0,1,Excellent,Loyal (7yr+),Low
CUST00195,Peter Gilbert,Retail,Current,10.0,South,0,36,Excellent,Loyal (7yr+),High
CUST00196,Brian Carroll,Retail,Current,6.8,North,0,12,Good,Established (3-7yr),Medium
CUST00197,April Simmons,SME,NRI,11.1,East,0,9,Good,Loyal (7yr+),Low
CUST00198,Kristina Drake,Retail,Salary,1.2,East,0,36,Poor,Growing (1-3yr),High
CUST00199,Jacob Bray,Corporate,Current,8.7,South,0,41,Very Good,Loyal (7yr+),Very High
CUST00200,Morgan Ward,Retail,Savings,2.8,North,0,28,Poor,Growing (1-3yr),High
CUST00201,Nicholas Schaefer,Retail,Current,2.2,West,1,38,Poor,Growing (1-3yr),High
CUST00202,John Gonzales,Retail,NRI,5.5,East,0,33,Good,Established (3-7yr),High
CUST00203,Marisa Bowen,Retail,Savings,1.8,North,0,42,Excellent,Growing (1-3yr),Very High
CUST00204,James Burton,Retail,NRI,1.9,West,0,46,Good,Growing (1-3yr),Very High
CUST00205,Patrick Scott,Premium,Business,5.0,South,1,22,Good,Established (3-7yr),Medium
CUST00206,Laura Quinn,Retail,NRI,14.7,West,0,25,Good,Loyal (7yr+),Medium
CUST00207,Michelle Ryan,Retail,Savings,3.0,South,0,18,Poor,Growing (1-3yr),Medium
CUST00208,Zachary Valenzuela,Retail,Salary,0.7,North,0,6,Very Good,New (0-1yr),Low
CUST00209,James Alvarez,Retail,Savings,11.6,East,0,18,Poor,Loyal (7yr+),Medium
CUST00210,Linda Mitchell,SME,Salary,12.2,Central,1,16,Fair,Loyal (7yr+),Medium
CUST00211,Nathaniel Davis,Corporate,Savings,5.5,East,1,15,Good,Established (3-7yr),Medium
CUST00212,Annette Clay,Retail,Current,7.2,North,0,48,Good,Loyal (7yr+),Very High
CUST00213,Timothy Jordan,Corporate,NRI,9.9,North,0,8,Fair,Loyal (7yr+),Low
CUST00214,Janice Montgomery,Retail,Business,1.2,South,0,13,Good,Growing (1-3yr),Medium
CUST00215,Christopher Tran,Retail,Salary,14.3,West,0,43,Good,Loyal (7yr+),Very High
CUST00216,Sara Dennis,SME,Salary,13.4,East,0,7,Good,Loyal (7yr+),Low
CUST00217,Michael Smith,SME,Current,4.3,Central,0,17,Fair,Established (3-7yr),Medium
CUST00218,Julia Brown,Retail,Current,0.7,West,1,50,Poor,New (0-1yr),Very High
CUST00219,Janet Thomas,Premium,Savings,14.0,North,1,32,Good,Loyal (7yr+),High
CUST00220,Judith Williamson,SME,Salary,7.8,Central,0,22,Very Good,Loyal (7yr+),Medium
CUST00221,Carl Richards,SME,NRI,8.3,Central,0,13,Fair,Loyal (7yr+),Medium
CUST00222,Amy White,Retail,Savings,10.4,South,0,47,Excellent,Loyal (7yr+),Very High
CUST00223,Cindy Lopez,Retail,Current,9.4,East,0,23,Fair,Loyal (7yr+),Medium
CUST00224,Richard Miller,SME,Salary,14.2,North,1,29,Poor,Loyal (7yr+),High
CUST00225,Donna Mitchell,SME,Business,14.2,Central,0,22,Fair,Loyal (7yr+),Medium
CUST00226,Chad Allen DDS,Premium,Business,13.1,East,1,1,Excellent,Loyal (7yr+),Low
CUST00227,Megan Goodman,Corporate,Salary,9.7,West,0,29,Very Good,Loyal (7yr+),High
CUST00228,Traci Curry,Retail,NRI,12.1,South,1,48,Excellent,Loyal (7yr+),Very High
CUST00229,Christina Merritt,Premium,Salary,10.3,East,0,5,Fair,Loyal (7yr+),Low
CUST00230,Angela Jackson,SME,NRI,8.8,South,0,35,Excellent,Loyal (7yr+),High
CUST00231,Jody Gaines,SME,Current,2.4,East,0,10,Fair,Growing (1-3yr),Low
CUST00232,Linda Carlson MD,Retail,NRI,12.3,West,0,19,Very Good,Loyal (7yr+),Medium
CUST00233,Amy Huynh,Retail,NRI,12.4,North,0,37,Very Good,Loyal (7yr+),High
CUST00234,Ms. Nicole Rivers MD,Retail,Salary,9.6,East,1,7,Poor,Loyal (7yr+),Low
CUST00235,Patricia Russell,SME,Salary,12.4,North,1,46,Very Good,Loyal (7yr+),Very High
CUST00236,Elizabeth White,SME,Business,9.9,Central,1,35,Good,Loyal (7yr+),High
CUST00237,Anna Freeman,Premium,Current,3.5,Central,0,45,Excellent,Established (3-7yr),Very High
CUST00238,Nicholas Foster,Corporate,Savings,4.5,West,1,13,Excellent,Established (3-7yr),Medium
CUST00239,Mrs. Elizabeth Willis DDS,Corporate,Salary,3.6,West,0,10,Fair,Established (3-7yr),Low
CUST00240,Gabrielle Cooper,Premium,Current,6.0,Central,1,2,Very Good,Established (3-7yr),Low
CUST00241,Jeffrey Christensen,Premium,Current,1.1,South,0,6,Poor,Growing (1-3yr),Low
CUST00242,Peter Rivera,Retail,Business,9.5,Central,0,8,Poor,Loyal (7yr+),Low
CUST00243,Michaela Carrillo,SME,Salary,5.4,Central,0,36,Poor,Established (3-7yr),High
CUST00244,Tiffany Daniels,Retail,Salary,10.0,North,0,25,Good,Loyal (7yr+),Medium
CUST00245,William Cox,Retail,Current,6.1,South,0,44,Very Good,Established (3-7yr),Very High
CUST00246,Edward Gallagher,SME,Salary,10.4,North,0,47,Poor,Loyal (7yr+),Very High
CUST00247,William Wilson,SME,Business,5.4,Central,0,40,Good,Established (3-7yr),High
CUST00248,Jason Olson,Retail,Business,4.3,North,0,7,Excellent,Established (3-7yr),Low
CUST00249,Ms. Stacie Henry MD,SME,Business,7.7,East,1,46,Fair,Loyal (7yr+),Very High
CUST00250,Cynthia Meyers,Retail,Salary,10.5,South,0,23,Very Good,Loyal (7yr+),Medium
CUST00251,Joshua Forbes,Corporate,Salary,5.6,West,1,19,Very Good,Established (3-7yr),Medium
CUST00252,Jessica Smith,Corporate,Business,14.1,South,0,46,Excellent,Loyal (7yr+),Very High
CUST00253,Wayne Ramos,SME,NRI,1.1,Central,0,22,Very Good,Growing (1-3yr),Medium
CUST00254,Kristen Wood,Corporate,Savings,6.6,North,1,13,Very Good,Established (3-7yr),Medium
CUST00255,Kara Porter,Retail,Current,14.5,North,1,21,Very Good,Loyal (7yr+),Medium
CUST00256,Amanda Smith,SME,NRI,8.4,South,0,1,Very Good,Loyal (7yr+),Low
CUST00257,Samantha Evans,Retail,Savings,6.6,East,1,19,Good,Established (3-7yr),Medium
CUST00258,Tyler Martin,Premium,Salary,8.7,West,0,33,Good,Loyal (7yr+),High
CUST00259,Joy Miller,Premium,Current,8.9,East,0,4,Fair,Loyal (7yr+),Low
CUST00260,Shannon Turner,Retail,NRI,11.1,South,0,42,Very Good,Loyal (7yr+),Very High
CUST00261,Ryan Johns,SME,Current,2.4,South,0,3,Excellent,Growing (1-3yr),Low
CUST00262,Janet Wallace,Premium,Salary,4.1,West,0,27,Poor,Established (3-7yr),High
CUST00263,Anthony Boyd,Premium,Savings,8.9,South,1,41,Fair,Loyal (7yr+),Very High
CUST00264,John Best,Corporate,Savings,13.1,North,0,35,Poor,Loyal (7yr+),High
CUST00265,Matthew Gonzalez,Retail,Savings,8.6,South,0,28,Poor,Loyal (7yr+),High
CUST00266,Tammy Thompson,Retail,NRI,4.0,Central,1,6,Very Good,Established (3-7yr),Low
CUST00267,Kari Barker,Corporate,Savings,10.4,West,1,6,Excellent,Loyal (7yr+),Low
CUST00268,Kristine Jones,SME,NRI,11.2,East,0,44,Poor,Loyal (7yr+),Very High
CUST00269,Megan Knight,Retail,NRI,4.0,South,0,23,Poor,Established (3-7yr),Medium
CUST00270,Tanya Green,SME,Business,6.0,East,0,33,Fair,Established (3-7yr),High
CUST00271,Andrew Acosta,Retail,NRI,8.2,East,0,16,Excellent,Loyal (7yr+),Medium
CUST00272,Alexander Bryant,Retail,Current,7.7,North,0,24,Excellent,Loyal (7yr+),Medium
CUST00273,Lynn Ramsey,Retail,Savings,6.1,Central,0,5,Poor,Established (3-7yr),Low
CUST00274,Dr. Kelly Romero,SME,NRI,4.8,West,0,41,Excellent,Established (3-7yr),Very High
CUST00275,Debbie Moore,Retail,Salary,1.9,East,0,42,Fair,Growing (1-3yr),Very High
CUST00276,Garrett Campbell,Retail,NRI,1.3,North,0,13,Fair,Growing (1-3yr),Medium
CUST00277,Laura Malone,SME,NRI,14.4,South,0,47,Fair,Loyal (7yr+),Very High
CUST00278,Steven Trujillo,Retail,Business,12.8,East,0,12,Very Good,Loyal (7yr+),Medium
CUST00279,Nicholas Abbott,Retail,Current,5.6,East,0,5,Poor,Established (3-7yr),Low
CUST00280,Julia Guzman,SME,Salary,14.4,South,0,37,Excellent,Loyal (7yr+),High
CUST00281,Michelle Murphy,Retail,Business,10.3,South,1,31,Fair,Loyal (7yr+),High
